route,transponder_id,bus_id,timestamp,heading,speed,latitude,longitude
Route 4,231,401,10/16/2014 9:47:05 AM,355.1,15.06,41.948112490422,-88.76574797973221
Route 2,233,501,10/16/2014 9:47:05 AM,190.1,0.0,41.9349593237583,-88.7706991463977
Route 2,229,601,10/16/2014 9:37:47 AM,42.9,6.9,41.9357198237582,-88.76706281306521
Route 4,219,602,10/16/2014 9:47:07 AM,138.5,0.7,41.9347034904251,-88.7704381463978
Route 5,225,603,10/16/2014 9:47:08 AM,356.6,0.0,41.936210323758104,-88.7671466463985
Route 7,224,604,9/26/2014 10:16:28 PM,1.4,15.4,41.946672323755706,-88.7699594797312
Route 2,213,701,10/15/2014 2:32:15 PM,184.1,0.0,41.9345143237584,-88.7277598130742
Route 3,228,702,10/16/2014 9:47:05 AM,348.4,0.0,41.9360486570914,-88.7672021463985
Route 1,222,901,10/16/2014 9:47:09 AM,350.9,1.28,41.9357921570915,-88.7671624797318
Route 2,226,902,10/16/2014 9:47:06 AM,359.5,28.65,41.9373079904245,-88.7878513130604
Route 5,214,904,10/16/2014 9:47:09 AM,267.3,11.39,41.94248915709,-88.778182146396
Route 1,215,1001,10/16/2014 9:47:06 AM,88.6,0.0,41.9346443237584,-88.7702336463978
Route 3,218,1002,10/16/2014 9:47:08 AM,183.1,5.3,41.945312323756,-88.76583347973221
Route 5,227,1003,10/16/2014 9:47:05 AM,153.7,0.0,41.9348051570917,-88.7706148130644
Route 6,232,1004,10/16/2014 9:47:04 AM,89.5,22.1,41.936359157091395,-88.77242297973059
Route 2,223,1102,10/16/2014 9:47:04 AM,359.8,8.39,41.9336849904253,-88.7657169797322
Route 4,231,401,10/16/2014 9:47:35 AM,270.2,22.63,41.9485429904219,-88.76801164639829
Route 2,233,501,10/16/2014 9:47:35 AM,190.1,0.0,41.934955823758294,-88.7707066463977
Route 2,229,601,10/16/2014 9:37:47 AM,42.9,6.9,41.9357198237582,-88.76706281306521
Route 4,219,602,10/16/2014 9:47:34 AM,338.1,19.36,41.9354739904249,-88.7701434797311
Route 5,225,603,10/16/2014 9:47:38 AM,356.6,0.0,41.9362141570914,-88.76715231306521
Route 7,224,604,9/26/2014 10:16:28 PM,1.4,15.4,41.946672323755706,-88.7699594797312
Route 2,213,701,10/15/2014 2:32:15 PM,184.1,0.0,41.9345143237584,-88.7277598130742
Route 3,228,702,10/16/2014 9:47:35 AM,348.4,0.07,41.936052823758104,-88.76719964639851
Route 1,222,901,10/16/2014 9:47:36 AM,359.9,3.15,41.9361516570914,-88.76720614639851
Route 2,226,902,10/16/2014 9:47:36 AM,237.4,0.28,41.9397384904239,-88.7881103130604
Route 5,214,904,10/16/2014 9:47:38 AM,2.0,13.68,41.9431948237565,-88.77876214639579
Route 1,215,1001,10/16/2014 9:47:36 AM,88.6,0.0,41.9346298237584,-88.7702376463978
Route 3,218,1002,10/16/2014 9:47:38 AM,179.4,26.17,41.942985490423204,-88.76580881306549
Route 5,227,1003,10/16/2014 9:47:35 AM,153.7,0.0,41.9348223237584,-88.7706373130644
Route 6,232,1004,10/16/2014 9:47:34 AM,189.2,11.77,41.9355323237582,-88.7704894797311
Route 2,223,1102,10/16/2014 9:47:34 AM,0.2,10.75,41.9348358237584,-88.7657338130655
Route 4,231,401,10/16/2014 9:48:05 AM,229.8,7.88,41.9485523237552,-88.7699299797312
Route 2,233,501,10/16/2014 9:48:05 AM,190.1,0.0,41.9349513237583,-88.77071131306441
Route 2,229,601,10/16/2014 9:37:47 AM,42.9,6.9,41.9357198237582,-88.76706281306521
Route 4,219,602,10/16/2014 9:48:04 AM,90.1,21.52,41.9363146570914,-88.76895347973141
Route 5,225,603,10/16/2014 9:48:08 AM,356.6,0.0,41.9362148237581,-88.7671548130652
Route 7,224,604,9/26/2014 10:16:28 PM,1.4,15.4,41.946672323755706,-88.7699594797312
Route 2,213,701,10/15/2014 2:32:15 PM,184.1,0.0,41.9345143237584,-88.7277598130742
Route 3,228,702,10/16/2014 9:48:05 AM,348.4,0.0,41.93604949042479,-88.7671966463985
Route 1,222,901,10/16/2014 9:48:06 AM,296.0,8.34,41.936441157091295,-88.76736597973179
Route 2,226,902,10/16/2014 9:48:06 AM,180.5,33.89,41.9372811570911,-88.7880516463937
Route 5,214,904,10/16/2014 9:48:06 AM,25.2,18.31,41.9440468237563,-88.7785933130625
Route 1,215,1001,10/16/2014 9:48:06 AM,88.6,0.75,41.9346049904251,-88.7702376463978
Route 3,218,1002,10/16/2014 9:48:08 AM,180.6,24.27,41.939484990424,-88.76579464639879
Route 5,227,1003,10/16/2014 9:48:05 AM,153.7,0.3,41.934822490425,-88.7706363130644
Route 6,232,1004,10/16/2014 9:48:04 AM,339.1,0.78,41.9347376570917,-88.7705008130644
Route 2,223,1102,10/16/2014 9:48:04 AM,359.8,9.57,41.935347157091606,-88.7657273130655
Route 4,231,401,10/16/2014 9:48:35 AM,192.1,0.16,41.9471618237556,-88.7700116463978
Route 2,233,501,10/16/2014 9:48:35 AM,190.1,0.0,41.9349483237583,-88.7707121463977
Route 2,229,601,10/16/2014 9:37:47 AM,42.9,6.9,41.9357198237582,-88.76706281306521
Route 4,219,602,10/16/2014 9:48:34 AM,221.2,4.77,41.9360138237581,-88.76739164639851
Route 5,225,603,10/16/2014 9:48:38 AM,356.6,0.0,41.936212657091396,-88.76713947973178
Route 7,224,604,9/26/2014 10:16:28 PM,1.4,15.4,41.946672323755706,-88.7699594797312
Route 2,213,701,10/15/2014 2:32:15 PM,184.1,0.0,41.9345143237584,-88.7277598130742
Route 3,228,702,10/16/2014 9:48:35 AM,348.4,0.0,41.9360529904248,-88.7671976463985
Route 1,222,901,10/16/2014 9:48:39 AM,269.5,12.24,41.9364146570913,-88.7702386463978
Route 2,226,902,10/16/2014 9:48:36 AM,89.5,16.56,41.9363919904247,-88.78612447972749
Route 5,214,904,10/16/2014 9:48:38 AM,40.1,5.84,41.945324323756,-88.7780008130627
Route 1,215,1001,10/16/2014 9:48:36 AM,170.6,0.42,41.9345771570918,-88.7702456463978
Route 3,218,1002,10/16/2014 9:48:38 AM,184.4,0.0,41.9367609904246,-88.7658509797321
Route 5,227,1003,10/16/2014 9:48:35 AM,140.2,0.5,41.934772657091706,-88.7705814797311
Route 6,232,1004,10/16/2014 9:48:34 AM,29.0,9.42,41.9349031570917,-88.7700313130645
Route 2,223,1102,10/16/2014 9:48:37 AM,354.5,0.0,41.936239490424704,-88.7657586463988
Route 4,231,401,10/16/2014 9:49:05 AM,198.7,4.18,41.94559815708921,-88.7700534797312
Route 2,233,501,10/16/2014 9:49:05 AM,98.3,3.79,41.9347123237584,-88.7704211463978
Route 2,229,601,10/16/2014 9:37:47 AM,42.9,6.9,41.9357198237582,-88.76706281306521
Route 4,219,602,10/16/2014 9:49:07 AM,54.9,6.09,41.9354839904249,-88.76723331306509
Route 5,225,603,10/16/2014 9:49:08 AM,356.6,0.0,41.936212657091396,-88.7671328130652
Route 7,224,604,9/26/2014 10:16:28 PM,1.4,15.4,41.946672323755706,-88.7699594797312
Route 2,213,701,10/15/2014 2:32:15 PM,184.1,0.0,41.9345143237584,-88.7277598130742
Route 3,228,702,10/16/2014 9:49:05 AM,348.4,0.0,41.9360586570914,-88.76719197973179
Route 1,222,901,10/16/2014 9:49:09 AM,201.0,9.58,41.935266157091604,-88.77051897973111
Route 2,226,902,10/16/2014 9:49:06 AM,89.2,23.9,41.9364026570914,-88.78359314639481
Route 5,214,904,10/16/2014 9:49:08 AM,94.1,0.0,41.945268823755995,-88.77654364639629
Route 1,215,1001,10/16/2014 9:49:06 AM,170.6,0.02,41.9345636570918,-88.7702274797311
Route 3,218,1002,10/16/2014 9:49:08 AM,269.4,17.9,41.9365036570913,-88.76647414639869
Route 5,227,1003,10/16/2014 9:49:05 AM,31.8,8.5,41.934847490425,-88.7700389797312
Route 6,232,1004,10/16/2014 9:49:07 AM,51.7,8.2,41.9362289904247,-88.7705394797311
Route 2,223,1102,10/16/2014 9:49:07 AM,210.1,7.02,41.936345323758005,-88.76725147973178
Route 4,231,401,10/16/2014 9:49:35 AM,349.1,7.93,41.9453549904226,-88.7730021463972
Route 2,233,501,10/16/2014 9:49:35 AM,339.0,14.84,41.935761490424795,-88.7703826463977
Route 2,229,601,10/16/2014 9:37:47 AM,42.9,6.9,41.9357198237582,-88.76706281306521
Route 4,219,602,10/16/2014 9:49:37 AM,348.7,1.95,41.935956657091495,-88.7671149797319
Route 5,225,603,10/16/2014 9:49:38 AM,356.6,0.0,41.9362119904247,-88.7671331463985
Route 7,224,604,9/26/2014 10:16:28 PM,1.4,15.4,41.946672323755706,-88.7699594797312
Route 2,213,701,10/15/2014 2:32:15 PM,184.1,0.0,41.9345143237584,-88.7277598130742
Route 3,228,702,10/16/2014 9:49:35 AM,348.4,0.0,41.9360541570914,-88.76718647973179
Route 1,222,901,10/16/2014 9:49:39 AM,124.2,0.0,41.9347036570917,-88.7704589797311
Route 2,226,902,10/16/2014 9:49:36 AM,37.3,8.94,41.936447823758,-88.7810284797287
Route 5,214,904,10/16/2014 9:49:38 AM,94.6,17.29,41.9451829904227,-88.77474347973009
Route 1,215,1001,10/16/2014 9:49:36 AM,164.8,0.49,41.9345514904251,-88.7701943130645
Route 3,218,1002,10/16/2014 9:49:38 AM,269.7,16.31,41.93642949042471,-88.7702246463978
Route 5,227,1003,10/16/2014 9:49:35 AM,26.7,4.2,41.9362561570914,-88.770564979731
Route 6,232,1004,10/16/2014 9:49:37 AM,89.8,20.79,41.936317823758,-88.7665733130653
Route 2,223,1102,10/16/2014 9:49:37 AM,178.0,3.89,41.935702990424794,-88.76739514639841
Route 4,231,401,10/16/2014 9:50:08 AM,359.2,34.01,41.9496694904216,-88.7730516463971
Route 2,233,501,10/16/2014 9:50:08 AM,89.1,20.1,41.9363181570914,-88.76923397973141
Route 2,229,601,10/16/2014 9:37:47 AM,42.9,6.9,41.9357198237582,-88.76706281306521
Route 4,219,602,10/16/2014 9:50:10 AM,19.8,0.89,41.9360683237581,-88.7669693130652
Route 5,225,603,10/16/2014 9:50:08 AM,2.6,2.71,41.936283323758005,-88.7671621463985
Route 7,224,604,9/26/2014 10:16:28 PM,1.4,15.4,41.946672323755706,-88.7699594797312
