ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10730876,HZ490257,10/01/2016 12:00:00 AM,048XX S INDIANA AVE,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,APARTMENT,false,true,0224,002,3,38,20,1178416,1873011,2016,10/31/2016 03:47:31 PM,41.806849923,-87.621147701,"(41.806849923, -87.621147701)"
10725741,HZ484589,10/01/2016 12:00:00 AM,023XX W CULLOM AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,1911,019,47,5,11,1160143,1928502,2016,10/24/2016 03:58:06 PM,41.959518155,-87.686633605,"(41.959518155, -87.686633605)"
10701127,HZ456602,10/01/2016 12:00:00 AM,020XX W POLK ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1231,012,2,28,06,,,2016,10/21/2016 03:58:01 PM,,,
10720647,HZ479252,10/01/2016 12:00:00 AM,017XX N HARDING AVE,0890,THEFT,FROM BUILDING,VACANT LOT/LAND,false,false,2535,025,30,23,06,1149778,1911236,2016,10/20/2016 03:50:02 PM,41.912347127,-87.725190394,"(41.912347127, -87.725190394)"
10712507,HZ470343,10/01/2016 12:00:00 AM,027XX N PINE GROVE AVE,0820,THEFT,$500 AND UNDER,SIDEWALK,false,false,1935,019,43,7,06,1172680,1918514,2016,10/13/2016 03:44:32 PM,41.931841867,-87.640839061,"(41.931841867, -87.640839061)"
10707193,HZ463995,10/01/2016 12:00:00 AM,013XX W ARTHINGTON ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1231,012,25,28,06,1167458,1896047,2016,10/10/2016 03:46:16 PM,41.870305071,-87.66067637,"(41.870305071, -87.66067637)"
10706202,HZ462777,10/01/2016 12:00:00 AM,021XX S MILLARD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1014,010,24,29,14,1152367,1889552,2016,10/10/2016 03:46:16 PM,41.852793186,-87.716251849,"(41.852793186, -87.716251849)"
10706038,HZ462436,10/01/2016 12:00:00 AM,019XX S AVERS AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,1014,010,24,29,11,1151046,1890185,2016,10/10/2016 03:46:16 PM,41.854556163,-87.721083809,"(41.854556163, -87.721083809)"
10701582,HZ457196,10/01/2016 12:00:00 AM,034XX W FULTON BLVD,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,false,false,1123,011,28,27,06,1153417,1901785,2016,10/08/2016 03:46:57 PM,41.886341105,-87.712073041,"(41.886341105, -87.712073041)"
10701239,HZ456754,10/01/2016 12:00:00 AM,046XX N ASHLAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1912,019,47,3,14,1164822,1930861,2016,10/08/2016 03:46:57 PM,41.965893163,-87.669364384,"(41.965893163, -87.669364384)"
10701144,HZ456522,10/01/2016 12:00:00 AM,091XX S COTTAGE GROVE AVE,031A,ROBBERY,ARMED: HANDGUN,HOTEL/MOTEL,false,false,0633,006,6,44,03,1183159,1844621,2016,10/08/2016 03:46:57 PM,41.728835841,-87.604634255,"(41.728835841, -87.604634255)"
10701140,HZ456599,10/01/2016 12:00:00 AM,008XX S STATE ST,0460,BATTERY,SIMPLE,SIDEWALK,false,false,0123,001,2,32,08B,1176488,1896494,2016,10/08/2016 03:46:57 PM,41.871332707,-87.627511169,"(41.871332707, -87.627511169)"
10701098,HZ456581,10/01/2016 12:00:00 AM,079XX S INGLESIDE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0624,006,8,44,07,1183939,1852555,2016,10/08/2016 03:46:57 PM,41.750589446,-87.601529817,"(41.750589446, -87.601529817)"
10701023,HZ456487,10/01/2016 12:00:00 AM,133XX S LANGLEY AVE,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,CHA APARTMENT,false,false,0533,005,9,54,05,1183291,1817357,2016,10/08/2016 03:46:57 PM,41.654016709,-87.60499518,"(41.654016709, -87.60499518)"
10701014,HZ456479,10/01/2016 12:00:00 AM,003XX N MICHIGAN AVE,0810,THEFT,OVER $500,STREET,false,false,0111,001,42,32,06,1177248,1902266,2016,10/08/2016 03:46:57 PM,41.887154215,-87.624545946,"(41.887154215, -87.624545946)"
10743994,HZ504700,10/01/2016 12:01:00 AM,028XX W PALMER ST,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,false,false,1414,014,35,22,20,,,2016,11/07/2016 03:52:14 PM,,,
10739675,HZ499461,10/01/2016 12:01:00 AM,067XX S ARTESIAN AVE,0610,BURGLARY,FORCIBLE ENTRY,VACANT LOT/LAND,false,false,0832,008,15,66,05,,,2016,11/03/2016 03:49:09 PM,,,
10726043,HZ484848,10/01/2016 12:01:00 AM,031XX W ARTHINGTON ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,1134,011,24,27,26,1155528,1895867,2016,10/27/2016 03:51:06 PM,41.870059315,-87.704480144,"(41.870059315, -87.704480144)"
10710631,HZ468324,10/01/2016 12:01:00 AM,009XX N LOCKWOOD AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,1524,015,37,25,11,1140854,1905693,2016,10/13/2016 03:44:32 PM,41.897305448,-87.758111706,"(41.897305448, -87.758111706)"
10705952,HZ462426,10/01/2016 12:01:00 AM,018XX W FLETCHER ST,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,false,false,1931,019,32,5,11,1163437,1920943,2016,10/10/2016 03:46:16 PM,41.938707019,-87.674736979,"(41.938707019, -87.674736979)"
10701505,HZ457109,10/01/2016 12:01:00 AM,054XX S EVERETT AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,0234,002,5,41,11,1188973,1869101,2016,10/08/2016 03:46:57 PM,41.795874039,-87.582553837,"(41.795874039, -87.582553837)"
