#,Thermostat,identifier,3.15696E+11,,,,,,,,,,,,,,,,,
#,Thermostat,name,My ecobee3,,,,,,,,,,,,,,,,,
#,Start,date,7/9/2016,,,,,,,,,,,,,,,,,
#,End,date,7/11/2016,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Lil'bee (F),Lil'bee2
7/9/2016,0:00:00,cool,compressorCoolStage1On,,Sleep,74,64,75.4,56,66.9,8,300,0,300,,67.9,56,0,75.4,0
7/9/2016,0:05:00,cool,compressorCoolStage1On,,Sleep,74,64,75.2,56,66.9,8,300,0,300,,67.7,56,1,75.2,0
7/9/2016,0:10:00,cool,compressorCoolStage1On,,Sleep,74,64,75,56,66.9,8,300,0,300,,67.6,56,0,75,0
7/9/2016,0:15:00,cool,compressorCoolStage1On,,Sleep,74,64,75,56,66.9,8,300,0,300,,67.5,56,1,75,0
7/9/2016,0:20:00,cool,compressorCoolStage1On,,Sleep,74,64,74.8,56,66.9,8,300,0,300,,67.5,56,1,74.8,0
7/9/2016,0:25:00,cool,compressorCoolStage1On,,Sleep,74,64,74.8,56,66.9,8,300,0,300,,67.5,56,1,74.8,1
7/9/2016,0:30:00,cool,compressorCoolStage1On,,Sleep,74,64,74.8,56,66.5,9,300,0,300,,67.4,56,0,74.8,1
7/9/2016,0:35:00,cool,compressorCoolStage1On,,Sleep,74,64,75,56,66.5,9,300,0,300,,67.3,56,0,75,1
7/9/2016,0:40:00,cool,compressorCoolStage1On,,Sleep,74,64,75.2,55,66.5,9,300,0,300,,67.2,55,0,75.2,0
7/9/2016,0:45:00,cool,compressorCoolStage1On,,Sleep,74,64,75.2,54,66.5,9,300,0,300,,67.1,54,0,75.2,0
7/9/2016,0:50:00,cool,compressorCoolStage1On,,Sleep,74,64,75.2,54,66.5,9,300,0,300,,66.9,54,0,75.2,0
7/9/2016,0:55:00,cool,compressorCoolStage1On,,Sleep,74,64,75.1,54,66.5,9,300,0,300,,66.7,54,0,75.1,0
7/9/2016,1:00:00,cool,compressorCoolStage1On,,Sleep,74,64,75,54,66.1,9,300,0,300,,66.5,54,1,75,0
7/9/2016,1:05:00,cool,compressorCoolStage1On,,Sleep,74,64,74.9,54,66.1,9,300,0,300,,66.4,54,0,74.9,0
